link,question,url_b
 https://cds.cern.ch/record/1761681,Can you see water?, https://cds.cern.ch/record/1761681/files/73-6-098.jpg
 https://cds.cern.ch/record/1761680,Can you see water?, https://cds.cern.ch/record/1761680/files/73-6-097.jpg
 https://cds.cern.ch/record/1761679,Can you see water?, https://cds.cern.ch/record/1761679/files/73-6-096.jpg
 https://cds.cern.ch/record/1761677,Can you see water?, https://cds.cern.ch/record/1761677/files/73-6-094.jpg
 https://cds.cern.ch/record/1761676,Can you see water?, https://cds.cern.ch/record/1761676/files/73-6-093.jpg
 https://cds.cern.ch/record/1761675,Can you see water?, https://cds.cern.ch/record/1761675/files/73-6-092.jpg
 https://cds.cern.ch/record/1761674,Can you see water?, https://cds.cern.ch/record/1761674/files/73-6-090.jpg
 https://cds.cern.ch/record/1761337,Can you see water?, https://cds.cern.ch/record/1761337/files/73-6-091.jpg

 https://cds.cern.ch/record/1761681,Can you see people?, https://cds.cern.ch/record/1761681/files/73-6-098.jpg
 https://cds.cern.ch/record/1761680,Can you see people?, https://cds.cern.ch/record/1761680/files/73-6-097.jpg
 https://cds.cern.ch/record/1761679,Can you see people?, https://cds.cern.ch/record/1761679/files/73-6-096.jpg
 https://cds.cern.ch/record/1761677,Can you see people?, https://cds.cern.ch/record/1761677/files/73-6-094.jpg
 https://cds.cern.ch/record/1761676,Can you see people?, https://cds.cern.ch/record/1761676/files/73-6-093.jpg
 https://cds.cern.ch/record/1761675,Can you see people?, https://cds.cern.ch/record/1761675/files/73-6-092.jpg
 https://cds.cern.ch/record/1761674,Can you see people?, https://cds.cern.ch/record/1761674/files/73-6-090.jpg
 https://cds.cern.ch/record/1761337,Can you see people?, https://cds.cern.ch/record/1761337/files/73-6-091.jpg
 https://cds.cern.ch/record/1761681,Are there electrical wires near the water?, https://cds.cern.ch/record/1761681/files/73-6-098.jpg
 https://cds.cern.ch/record/1761680,Are there electrical wires near the water?, https://cds.cern.ch/record/1761680/files/73-6-097.jpg
 https://cds.cern.ch/record/1761679,Are there electrical wires near the water?, https://cds.cern.ch/record/1761679/files/73-6-096.jpg
 https://cds.cern.ch/record/1761677,Are there electrical wires near the water?, https://cds.cern.ch/record/1761677/files/73-6-094.jpg
 https://cds.cern.ch/record/1761676,Are there electrical wires near the water?, https://cds.cern.ch/record/1761676/files/73-6-093.jpg
 https://cds.cern.ch/record/1761675,Are there electrical wires near the water?, https://cds.cern.ch/record/1761675/files/73-6-092.jpg
 https://cds.cern.ch/record/1761674,Are there electrical wires near the water?, https://cds.cern.ch/record/1761674/files/73-6-090.jpg
 https://cds.cern.ch/record/1761337,Are there electrical wires near the water?, https://cds.cern.ch/record/1761337/files/73-6-091.jpg
